"person_id","display_first_last","birthdate","school","country","height","weight","season_exp","jersey","position","team_id","team_name","team_abbreviation","team_city","from_year","to_year"
246,"Greg Anderson",1964-06-22,"Houston","USA","6-10",250,10,"0","Center-Forward",1610612759,"Spurs","SAS","San Antonio",1987,1997
202341,"James Anderson",1989-03-25,"Oklahoma State","USA","6-6",213,6,"5","Guard-Forward",1610612759,"Spurs","SAS","San Antonio",2010,2015
76040,"Jerome Anderson",1953-10-09,"West Virginia","USA","6-5",195,2,"21-23","Guard",1610612754,"Pacers","IND","Indiana",1975,1976
1626147,"Justin Anderson",1993-11-19,"Virginia","USA","6-5",231,7,NA,"Forward-Guard",0,NA,NA,NA,2015,2021
72,"Kenny Anderson",1970-10-09,"Georgia Tech","USA","6-1",168,14,NA,"Guard",0,NA,NA,NA,1991,2004
76041,"Kim Anderson",1955-05-12,"Missouri","USA","6-7",200,1,"42","Forward",1610612757,"Trail Blazers","POR","Portland",1978,1978
203937,"Kyle Anderson",1993-09-20,"UCLA","USA","6-9",230,9,"5","Forward-Guard",1610612750,"Timberwolves","MIN","Minnesota",2014,2023
76042,"Michael Anderson",1966-03-23,"Drexel","USA","5-11",184,1,"10","Guard",1610612759,"Spurs","SAS","San Antonio",1988,1988
76043,"Mitchell Anderson",1960-09-23,"Bradley","USA","6-8",195,3,"11","Forward",1610612762,"Jazz","UTA","Utah",1982,1984
98,"Nick Anderson",1968-01-20,"Illinois","USA","6-6",228,14,"5","Forward-Guard",1610612753,"Magic","ORL","Orlando",1989,2002
76045,"Richard Anderson",1960-11-19,"California-Santa Barbara","USA","6-10",240,6,"35","Forward",1610612757,"Trail Blazers","POR","Portland",1982,1989
76046,"Ron Anderson",1958-10-15,"Fresno State","USA","6-7",215,10,"35","Forward",1610612755,"76ers","PHI","Philadelphia",1984,1993
201583,"Ryan Anderson",1988-05-06,"California","USA","6-9",240,12,NA,"Forward",0,NA,NA,NA,2008,2019
1000,"Shandon Anderson",1973-12-31,"Georgia","USA","6-6",215,10,"49","Guard-Forward",1610612752,"Knicks","NYK","New York",1996,2005
335,"Willie Anderson",1967-01-08,"Georgia","USA","6-8",200,8,"35","Guard-Forward",1610612759,"Spurs","SAS","San Antonio",1988,1996
101149,"Martynas Andriuskevicius",1986-03-12,"Zalgiris","Lithuania","7-2",240,2,"15","Center",1610612739,"Cavaliers","CLE","Cleveland",2005,2006
76049,"Don Anielak",1930-11-01,"Missouri State","USA","6-7",190,1,"12","Forward",1610612752,"Knicks","NYK","New York",1954,1954
1628387,"Ike Anigbogu",1998-10-16,"UCLA","USA","6-10",250,3,NA,"Center",0,NA,NA,NA,2017,2018
76050,"Michael Ansley",1967-02-08,"Alabama","USA","6-7",225,3,"54","Forward",1610612753,"Magic","ORL","Orlando",1989,1991
1512,"Chris Anstey",1975-01-01,"South East Melbourne","Australia","7-0",249,2,"22","Center",1610612742,"Mavericks","DAL","Dallas",1997,1999
203507,"Giannis Antetokounmpo",1994-12-06,"Filathlitikos","Greece","7-0",243,10,"34","Forward",1610612749,"Bucks","MIL","Milwaukee",2013,2023
1628961,"Kostas Antetokounmpo",1997-11-20,"University of Dayton","Greece","6-10",200,4,"37","Forward",1610612747,"Lakers","LAL","Los Angeles",2018,2020
203648,"Thanasis Antetokounmpo",1992-07-18,"Panathinaikos","Greece","6-7",219,5,"43","Forward",1610612749,"Bucks","MIL","Milwaukee",2015,2023
2546,"Carmelo Anthony",1984-05-29,"Syracuse","USA","6-7",238,20,"7","Forward",1610612747,"Lakers","LAL","Los Angeles",2003,2021
1630175,"Cole Anthony",2000-05-15,"North Carolina","USA","6-3",185,3,"50","Guard",1610612753,"Magic","ORL","Orlando",2020,2023
21,"Greg Anthony",1967-11-15,"UNLV","USA","6-1",180,11,"50","Guard",1610612752,"Knicks","NYK","New York",1991,2001
201202,"Joel Anthony",1982-08-09,"UNLV","Canada","6-9",245,11,"30","Center",1610612748,"Heat","MIA","Miami",2007,2016
203544,"Pero Antic",1982-07-29,"Olympiacos","Macedonia","6-11",260,2,"6","Forward-Center",1610612737,"Hawks","ATL","Atlanta",2013,2014
1628384,"O.G. Anunoby",1997-07-17,"Indiana","United Kingdom","6-7",232,6,"3","Forward",1610612761,"Raptors","TOR","Toronto",2017,2023
2737,"Rafael Araujo",1980-08-12,"Brigham Young","Brazil","6-11",270,4,"55","Center",1610612761,"Raptors","TOR","Toronto",2004,2006
76053,"Stacey Arceneaux",1936-02-17,"Iowa State","USA","6-4",210,1,NA,"Forward",1610612737,"Hawks","STL","St. Louis",1961,1961
76054,"Nate Archibald",1948-09-02,"Texas-El Paso","USA","6-1",150,13,"1","Guard",1610612758,"Kings","KCK","Kansas City",1970,1983
2425,"Robert Archibald",1980-03-29,"Illinois","Scotland","6-11",250,3,"34","Forward",1610612761,"Raptors","TOR","Toronto",2002,2003
1627853,"Ryan Arcidiacono",1994-03-26,"Villanova","USA","6-3",195,6,NA,"Guard",0,NA,NA,NA,2017,2022
76055,"Jim Ard",1948-09-19,"Cincinnati","USA","6-9",215,4,"34","Center",1610612738,"Celtics","BOS","Boston",1974,1977
2240,"Gilbert Arenas",1982-01-06,"Arizona","USA","6-4",215,12,"10","Guard",1610612764,"Wizards","WAS","Washington",2001,2011
2772,"Trevor Ariza",1985-06-30,"UCLA","USA","6-8",215,18,NA,"Forward",0,NA,NA,NA,2004,2021
76056,"Paul Arizin",1928-04-09,"Villanova","USA","6-4",190,10,"11","Forward",1610612744,"Warriors","PHW","Philadelphia",1950,1961
76057,"Joe Arlauckas",1965-07-20,"Niagara","USA","6-9",230,1,"53","Forward",1610612758,"Kings","SAC","Sacramento",1987,1987
769,"B.J. Armstrong",1967-09-09,"Iowa","USA","6-2",185,11,"11","Guard",1610612741,"Bulls","CHI","Chicago",1989,1999
2220,"Brandon Armstrong",1980-06-16,"Pepperdine","USA","6-5",185,4,"1","Guard",1610612751,"Nets","NJN","New Jersey",2001,2003
353,"Darrell Armstrong",1968-06-22,"Fayetteville State","USA","6-1",180,15,"10","Guard",1610612753,"Magic","ORL","Orlando",1994,2007
200756,"Hilton Armstrong",1984-11-23,"Connecticut","USA","6-11",235,6,"57","Forward-Center",1610612740,"Hornets","NOH","New Orleans",2006,2013
76059,"Tate Armstrong",1955-10-05,"Duke","USA","6-3",175,2,"14","Guard",1610612741,"Bulls","CHI","Chicago",1977,1978
76062,"Jesse Arnelle",1933-12-30,"Penn State","USA","6-5",220,1,"15-18","Forward",1610612765,"Pistons","FTW","Ft. Wayne Zollner",1955,1955
76064,"Bob Arnzen",1947-11-03,"Notre Dame","USA","6-5",205,1,"21-30","Forward",1610612758,"Royals","CIN","Cincinnati",1970,1970
2306,"Carlos Arroyo",1979-07-30,"Florida International","Puerto Rico","6-2",200,10,"45","Guard",1610612753,"Magic","ORL","Orlando",2001,2010
201589,"Darrell Arthur",1988-03-25,"Kansas","USA","6-9",235,10,"00","Forward",1610612743,"Nuggets","DEN","Denver",2008,2017
76065,"John Arthurs",1947-08-15,"Tulane","USA","6-4",185,1,"12","Guard",1610612749,"Bucks","MIL","Milwaukee",1969,1969
1628503,"Jamel Artis",1993-01-12,"Pittsburgh","USA","6-7",213,2,"0","Guard",1610612753,"Magic","ORL","Orlando",2017,2017
201600,"Omer Asik",1986-07-04,"Fenerbahce","Turkey","7-0",255,9,"3","Center",1610612740,"Pelicans","NOP","New Orleans",2010,2017
355,"Vincent Askew",1966-02-28,"Memphis","USA","6-6",210,9,NA,"Guard",0,NA,NA,NA,1987,1997
76068,"Don Asmonga",1928-02-15,"Alliance","USA","6-2",185,1,NA,"Guard",1610610024,"Bullets","BAL","Baltimore",1953,1953
76069,"Richard Atha",1931-09-21,"Indiana State","USA","6-2",190,2,"7","Guard",1610612752,"Knicks","NYK","New York",1955,1957
1088,"Chucky Atkins",1974-08-14,"South Florida","USA","5-11",185,12,"17","Guard",1610612765,"Pistons","DET","Detroit",1999,2009
76071,"Chet Aubuchon",1916-05-08,"Michigan State","USA","5-10",137,1,NA,"Guard",1610610028,"Falcons","DEF","Detroit",1946,1946
278,"Stacey Augmon",1968-08-01,"UNLV","USA","6-8",213,16,"2","Forward-Guard",1610612737,"Hawks","ATL","Atlanta",1991,2005
201571,"D.J. Augustin",1987-11-10,"Texas-Austin","USA","5-11",183,14,"4","Guard",1610612745,"Rockets","HOU","Houston",2008,2023
200788,"James Augustine",1984-02-27,"Illinois","USA","6-10",235,2,"40","Forward",1610612753,"Magic","ORL","Orlando",2006,2007
1134,"Ike Austin",1969-08-18,"Arizona State","USA","6-10",288,9,NA,"Center",0,NA,NA,NA,1991,2001
76073,"John Austin",1944-08-31,"Boston College","USA","6-0",170,1,"34","Guard",1610612764,"Bullets","BLT","Baltimore",1966,1966
138,"Anthony Avent",1969-10-18,"Seton Hall","USA","6-9",240,6,"30","Center",1610612749,"Bucks","MIL","Milwaukee",1992,1999
76076,"William Averitt",1952-07-22,"Pepperdine","USA","6-2",170,2,"15","Guard",1610612746,"Braves","BUF","Buffalo",1976,1977
1895,"William Avery",1979-08-08,"Duke","USA","6-2",180,4,"30","Guard",1610612750,"Timberwolves","MIN","Minnesota",1999,2002
76078,"Dennis Awtrey",1948-02-22,"Santa Clara","USA","6-10",235,12,"20","Center",1610612756,"Suns","PHX","Phoenix",1970,1981
1630555,"Joel Ayayi",2000-03-05,"Gonzaga","France","6-4",180,2,NA,"Guard",0,NA,NA,NA,2021,2021
202970,"Gustavo Ayon",1985-04-01,"Baloncesto Fuenlabrada","Mexico",NA,NA,3,NA,NA,0,NA,NA,NA,2011,2016
201965,"Jeff Ayres",1987-04-29,"Arizona State","USA","6-9",250,7,"19","Forward-Center",1610612759,"Spurs","SAS","San Antonio",2009,2015
1629028,"Deandre Ayton",1998-07-23,"Arizona","Bahamas","7-0",250,5,"22","Center",1610612756,"Suns","PHX","Phoenix",2018,2023
101235,"Kelenna Azubuike",1983-12-16,"Kentucky","United Kingdom","6-5",215,5,"4","Guard",1610612744,"Warriors","GSW","Golden State",2006,2011
1628962,"Udoka Azubuike",1999-09-17,"Kansas","Nigeria","6-11",270,3,"20","Center-Forward",1610612762,"Jazz","UTA","Utah",2020,2023
203569,"Chris Babb",1990-02-14,"Iowa State","USA","6-5",225,3,"52","Guard",1610612738,"Celtics","BOS","Boston",2013,2014
202337,"Luke Babbitt",1989-06-20,"Nevada-Reno","USA","6-9",225,9,"22","Forward",1610612740,"Pelicans","NOP","New Orleans",2010,2017
76079,"Milos Babic",1968-11-23,"Tennessee Tech","USA","7-0",240,2,"00","Center",1610612739,"Cavaliers","CLE","Cleveland",1990,1991
76080,"Johnny Bach",1924-07-10,"Fordham","USA","6-2",180,1,"17","Forward",1610612738,"Celtics","BOS","Boston",1948,1948
1628407,"Dwayne Bacon",1995-08-30,"Florida State","USA","6-6",221,5,"8","Guard-Forward",1610612753,"Magic","ORL","Orlando",2017,2020
76081,"Jim Baechtold",1927-12-09,"Eastern Kentucky","USA","6-4",205,5,"10","Forward",1610612752,"Knicks","NYK","New York",1952,1956
2053,"Dalibor Bagaric",1980-07-02,"Benston Zagreb","Croatia","7-1",290,4,"11","Center",1610612741,"Bulls","CHI","Chicago",2000,2002
76082,"John Bagley",1960-04-23,"Boston College","USA","6-0",185,11,"5","Guard",1610612739,"Cavaliers","CLE","Cleveland",1982,1993
1628963,"Marvin Bagley III",1999-03-14,"Duke","USA","6-10",235,5,"35","Forward",1610612765,"Pistons","DET","Detroit",2018,2023
76084,"Carl Bailey",1958-04-23,"Tuskegee","USA","7-0",210,1,"21","Center",1610612757,"Trail Blazers","POR","Portland",1981,1981
76083,"Gus Bailey",1951-02-18,"Texas-El Paso","USA","6-5",185,5,"20","Guard",1610612745,"Rockets","HOU","Houston",1974,1979
76085,"James Bailey",1957-05-21,"Rutgers","USA","6-9",220,9,"2","Forward",1610612760,"SuperSonics","SEA","Seattle",1979,1987
1847,"Thurl Bailey",1961-04-07,"North Carolina State","USA","6-11",247,12,"41","Forward",1610612762,"Jazz","UTA","Utah",1983,1998
1753,"Toby Bailey",1975-11-19,"UCLA","USA","6-6",213,3,"11","Guard",1610612756,"Suns","PHX","Phoenix",1998,2002
1858,"Mark Baker",1969-11-11,"Ohio State","USA","6-1",175,1,NA,"Guard",0,NA,NA,NA,1998,1998
2486,"Maurice Baker",1979-07-28,"Oklahoma State","USA","6-2",200,2,NA,"Guard",0,NA,NA,NA,2002,2004
76089,"Norm Baker",1923-02-17,"Victoria","Canada","6-0",180,1,NA,"Guard",1610610025,"Stags","CHS","Chicago",1946,1946
1627758,"Ron Baker",1993-03-30,"Wichita State","USA","6-4",220,3,NA,"Guard",0,NA,NA,NA,2016,2018
452,"Vin Baker",1971-11-23,"Hartford","USA","6-11",240,13,"34","Forward",1610612760,"SuperSonics","SEA","Seattle",1993,2005
1627735,"Wade Baldwin IV",1996-03-29,"Vanderbilt","USA","6-4",200,3,NA,"Guard",0,NA,NA,NA,2016,2018
1631116,"Patrick Baldwin Jr.",2002-11-18,"Wisconsin-Milwaukee","USA","6-9",220,1,"7","Forward",1610612744,"Warriors","GSW","Golden State",2022,2023
200764,"Renaldo Balkman",1984-07-14,"South Carolina","USA","6-8",225,7,NA,"Forward",0,NA,NA,NA,2006,2011
76090,"Cedric Ball",1968-04-16,"North Carolina-Charlotte","USA","6-8",210,1,"44","Forward",1610612746,"Clippers","LAC","Los Angeles",1990,1990
1630163,"LaMelo Ball",2001-08-22,"Illawarra","USA","6-7",180,3,"1","Guard",1610612766,"Hornets","CHA","Charlotte",2020,2023
1629071,"LiAngelo Ball",1998-11-24,NA,"USA",NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
1628366,"Lonzo Ball",1997-10-27,"UCLA","USA","6-6",190,5,"2","Guard",1610612741,"Bulls","CHI","Chicago",2017,2023
76091,"Greg Ballard",1955-01-29,"Oregon","USA","6-7",215,11,"42","Forward",1610612764,"Bullets","WAS","Washington",1977,1988
76092,"Herschel Baltimore",1921-06-21,"Penn State","USA","6-4",195,1,NA,"Forward",1610610034,"Bombers","BOM","St. Louis",1946,1946
1631094,"Paolo Banchero",2002-11-12,"Duke","USA","6-10",250,1,"5","Forward",1610612753,"Magic","ORL","Orlando",2022,2023
1630217,"Desmond Bane",1998-06-25,"TCU","USA","6-5",215,3,"22","Guard",1610612763,"Grizzlies","MEM","Memphis",2020,2023
76093,"Gene Banks",1959-05-15,"Duke","USA","6-7",215,6,"20","Forward",1610612759,"Spurs","SAS","San Antonio",1981,1986
2556,"Marcus Banks",1981-11-19,"UNLV","USA","6-2",205,9,"15","Guard",1610612738,"Celtics","BOS","Boston",2003,2010
76094,"Ken Bannister",1960-04-01,"St. Augustine's","USA","6-9",235,5,"51","Forward",1610612752,"Knicks","NYK","New York",1984,1990
76095,"Mike Bantom",1951-12-03,"St. Joseph's (PA)","USA","6-9",200,9,"42","Forward",1610612754,"Pacers","IND","Indiana",1973,1981
1630625,"Dalano Banton",1999-11-07,"Nebraska","Canada","6-7",204,2,"45","Forward",1610612761,"Raptors","TOR","Toronto",2021,2023
1627760,"Cat Barber",1994-07-25,"North Carolina State","USA","6-1",173,1,NA,"Guard",0,NA,NA,NA,2021,2021
76096,"John Barber",1927-06-27,"California State-Los Angeles","USA","6-6",210,1,"25","Forward",1610612737,"Hawks","STL","St. Louis",1956,1956
76097,"Stephen Bardo",1968-04-05,"Illinois","USA","6-5",190,3,"25","Guard",1610612742,"Mavericks","DAL","Dallas",1991,1995
200826,"J.J. Barea",1984-06-26,"Northeastern","Puerto Rico","5-10",180,15,"5","Guard",1610612742,"Mavericks","DAL","Dallas",2006,2019
76098,"Cliff Barker",1921-01-15,"Kentucky","USA","6-2",185,3,NA,"Guard",1610610030,"Olympians","INO","Indianapolis",1949,1951
76099,"Tom Barker",1955-03-11,"Hawaii","USA","6-11",225,2,"6","Center",1610612737,"Hawks","ATL","Atlanta",1976,1978
787,"Charles Barkley",1963-02-20,"Auburn","USA","6-6",252,16,"34","Forward",1610612755,"76ers","PHI","Philadelphia",1984,1999
2057,"Erick Barkley",1978-02-21,"St. John's (NY)","USA","6-1",185,3,"1","Guard",1610612757,"Trail Blazers","POR","Portland",2000,2002
76102,"Don Barksdale",1923-03-31,"UCLA","USA","6-6",200,4,"17","Forward",1610612738,"Celtics","BOS","Boston",1951,1954
1631230,"Dominick Barlow",2003-05-26,"Overtime Elite","USA","6-9",215,1,"26","Forward",1610612759,"Spurs","SAS","San Antonio",2022,2023
203084,"Harrison Barnes",1992-05-30,"North Carolina","USA","6-8",225,11,"40","Forward",1610612758,"Kings","SAC","Sacramento",2012,2023
76105,"Jim Barnes",1941-04-13,"Texas-El Paso","USA","6-8",210,7,"12","Center",1610612738,"Celtics","BOS","Boston",1964,1970
76104,"Marvin Barnes",1952-07-27,"Providence","USA","6-9",210,4,"27","Forward",1610612746,"Clippers","SDC","San Diego",1976,1979
